      , Revenue           , Net Income/Net Profit (Losses), Total Assets      , Current Market Cap  , Volume              , EBITDA            , Net Debt           , Total Equity      , ROIC              , EBIT              , Net interest        , CAPEX              , Total Liabilities  , Total Debt         , Quick ratio         , Cash and equiv     , Mkt securities       , Asset Turnover     , Net marging           , Debt/Equity          , Log(Total Assets)   , Ln(revenue)       , ROE                , (EBIT-CapEx)/Interest Expense, ROA                  , Debt to EBITDA     , Debt Ratio          , Debt/Book Capitalization, Debt/Equity Ratio  , Debt/Total Capitalization, (Cash + Marketable Securities) / Debt, Market Cap to Revenue ratio, (P/B) ratio       , Market Cap to EBITDA, R&D expense        , GDP_per_Capita    , Inflation_Rate   , Real_GDP_Growth_Rate, ESG_Committee, International_presence, Years in Market    , ESG Risk Rating    , Moodys Credit Rating, Developed
count , 636.0             , 636.0                         ,    636.0          ,     622.0           ,           609.0     , 630.0             , 636.0              , 636.0             , 628.0             , 636.0             , 607.0               , 630.0              ,    636.0           ,    636.0           , 636.0               ,   636.0            ,    626.0             , 636.0              , 634.0                 , 636.0                , 636.0               , 630.0             , 636.0              , 606.0                        , 636.0                , 630.0              , 636.0               , 636.0                   , 636.0              , 622.0                    ,                  601.0               , 621.0                      , 623.0             , 617.0               ,   562.0            ,   639.0           , 639.0            , 639.0               , 639          , 639                   , 639.0              , 639.0              , 642                 , 639
unique,                   ,                               ,                   ,                     ,                     ,                   ,                    ,                   ,                   ,                   ,                     ,                    ,                    ,                    ,                     ,                    ,                      ,                    ,                       ,                      ,                     ,                   ,                    ,                              ,                      ,                    ,                     ,                         ,                    ,                          ,                                      ,                            ,                   ,                     ,                    ,                   ,                  ,                     , 2            , 2                     ,                    ,                    , 21                  , 2
top   ,                   ,                               ,                   ,                     ,                     ,                   ,                    ,                   ,                   ,                   ,                     ,                    ,                    ,                    ,                     ,                    ,                      ,                    ,                       ,                      ,                     ,                   ,                    ,                              ,                      ,                    ,                     ,                         ,                    ,                          ,                                      ,                            ,                   ,                     ,                    ,                   ,                  ,                     , False        , True                  ,                    ,                    , Baa1                , True
freq  ,                   ,                               ,                   ,                     ,                     ,                   ,                    ,                   ,                   ,                   ,                     ,                    ,                    ,                    ,                     ,                    ,                      ,                    ,                       ,                      ,                     ,                   ,                    ,                              ,                      ,                    ,                     ,                         ,                    ,                          ,                                      ,                            ,                   ,                     ,                    ,                   ,                  ,                     , 350          , 597                   ,                    ,                    , 90                  , 549
mean  , 27735.98461273585 , 3674.421279245283             ,  45079.64854874214,  110645.56702115647 ,    6206814644.143847, 6528.219960773808 , -2433.7329776415095, 20098.54555786163 , 3.9858094247611455, 4272.19786745283  , 334.6518039648545   , -2391.586576507937 ,  24981.69369402516 ,   9640.756922641509,   1.7741166719077566,  4777.935750927672 ,   5643.293564217253  , 0.7064638497057226 , -1.4380358990832416   , -0.002589391148327698,   3.9510298186980632, 8.477757699509048 , 0.09790573685403868, 30.95424506438461            , -0.016562476272473422, -1.4137695399083667,   0.5479889439892198, 0.5620747589734191      , 0.6446664728787246 , 0.22441046463227238      ,                    4.529866988894028 , 34.24413836514255          , 13.715550411219153, 19.46952309360681   ,  3056.0302491103203, 45675.99061032864 , 4.419092331768389, 1.7822190923317687  ,              ,                       ,  42.15492957746479 ,  17.762815992735913,                     , 
std   , 63733.75446388456 , 11932.976304086895            ,  83883.47059665772,  324831.076651974   ,   45503519615.22767 , 17533.320710578093, 19346.033664306207 , 43109.47613823908 , 25.945264363129652, 13632.123392155769, 2595.0719734064187  , 7031.155076738743  ,  50294.74226522084 ,  20951.663002317357,   3.3242787586405362,  8941.979555098578 ,  17108.987156128354  , 0.9027766743465189 , 19.474682431860614    , 1.2692519941514055   ,   0.9790231354641975, 2.3453761572982605, 0.6337233920007183 , 464.9491948389009            , 0.7675349567154783   , 55.66699461922432  ,   0.3200542420262697, 2.3035942156729687      , 1.2007054210366892 , 0.7199136258632634       ,                   25.341521496796144 , 358.3764658153387          , 114.23246741264005, 186.74362015293462  ,  7790.534316165174 , 24531.798353388655, 9.240147550826986, 3.598547664055779   ,              ,                       ,  36.865757956045286,   8.78328343601653 ,                     , 
min   , -1914.4811        , -22355.0                      ,      1.1407       ,       0.0           ,             0.0     , -9207.0           , -122617.0          , -6294.0           , -187.0444         , -15789.0          , -3557.0             , -63645.0           ,      0.7655        ,      0.0           ,   0.0352            ,     0.0            ,      0.0             , -0.3453859205742372, -422.91924227318043   , -13.642159577060687  ,   0.0               , -5.403677882205863, -6.057633353770693 , -5854.010712035286           , -17.86885245901639   , -1282.718191272634 ,   0.0               , -29.02397341561833      , -13.642159577060687, -0.42731984990141836     ,                    0.0               , -6.832058892143395         , -161.6162550345617, -1582.4545503525137 ,    10.0            ,  1045.0           , -0.8             , -11.165             ,              ,                       ,   0.0              ,   0.0              ,                     , 
25%   , 1421.41875        , -1.490725                     ,   3207.2987       ,    3808.260225      ,      95161684.0     , 90.1474           , -1560.1882500000002, 1325.7237750000002, 0.876525          , 5.1472750000000005, -0.17975000000000002, -968.553325        ,   1161.1624        ,    353.086575      ,   0.6896249999999999,   373.7266666666667,      0.0             , 0.36894576902374593, -0.0006856933307813793, -0.4074197175354343  ,   3.506035553479089 , 7.33542643771211  , 0.0                , -6.202325456799759           , -0.003542134091391616, -1.184292614867824 ,   0.385181511766478 , 0.20208620536480318     , 0.15214454210780126, 0.03769083315277598      ,                    0.3199948522847907, 1.099441183313849          , 1.6160489395777675, 4.168112720296434   ,   200.0            , 30996.0           , 1.4              , 0.643               ,              ,                       ,  18.0              ,  13.3020827325     ,                     , 
50%   , 5957.9184000000005, 334.2107                      ,  11035.44485      ,   19114.28845       ,     635568599.0     , 909.4259999999999 , 7.45054            , 4964.683          , 7.012650000000001 , 478.65909999999997, 21.976              , -278.86424999999997,   5756.534299999999,   2157.5           ,   1.01615           ,  1506.976          ,    198.89215000000002, 0.5483417996317179 , 0.06540415117537651   , 0.0014016252101172156,   4.04278449257696  , 8.694948754893064 , 0.10621946328714879, 9.28198158863875             , 0.0401809050649222   , 0.490852374467007  ,   0.5424785113586514, 0.4171129014234837      , 0.41302490791140234, 0.11004675217642271      ,                    0.8095873204200342, 2.812558316725269          , 3.100991362249055 , 11.189022598831455  ,   650.0            , 48718.0           , 2.5              , 2.0                 ,              ,                       ,  26.0              ,  16.960272005      ,                     , 
75%   , 22617.75          , 1867.937                      ,  37409.005225     ,   51380.195049999995,    2680545441.0     , 3790.4249         , 2291.7882250000002 , 14562.725625      , 13.425625         , 2349.6748749999997, 123.86185           , -36.06275          ,  20211.571075      ,   8091.693775      ,   1.580425          ,  4265.406875       ,   2357.95595         , 0.8003502350621674 , 0.15968204517529522   , 0.48071177449039165  ,   4.572976033450111 , 10.04516813904489 , 0.20017343586049496, 29.136480521631135           , 0.08964878987070338  , 2.001864098052895  ,   0.6857530757232919, 0.6855886314253259      , 0.8926880100484983 , 0.26697946022599295      ,                    2.42866323907455  , 6.756648105232996          , 7.137924589397175 , 20.94145564622125   ,  2200.0            , 63544.0           , 4.7              , 3.319               ,              ,                       ,  52.0              ,  22.0285988775     ,                     , 
max   , 574785.0          , 99803.0                       , 527854.0          , 2676736.8607        , 1020235746500.0     , 132441.0          , 84946.0            , 283379.0          , 227.2008          , 119437.0          , 39193.0             , 32.68              , 325979.0           , 154972.0           ,  35.42              , 73387.0            , 122951.0             , 11.620845703281715 , 6.0695087706502315    , 6.869774241457069    ,   5.722513816923071 , 13.2617513368131  , 6.292018033591067  , 6374.666666666667            , 1.9391566756382022   , 328.2532520986199  ,   5.544928552643114 , 25.1571428571429        , 8.333333916111147  , 15.405214685338503       ,                  505.2152131357117   , 6073.076888143611          , 2696.7958632214213, 2228.4122562674097  , 90000.0            , 94696.0           , 143.0            , 11.334              ,              ,                       , 176.0              ,  58.0              ,                     , 
